,Webpage,Message,Author,Likes,Dislikes,NumReports,Polarity,Subjectivity,Positive,Negative,Neutral,Compound
0,Batman-2016/Issue-1,"""Would... would they have -- Mother and Father, would they have been proud?""Hit me like a fucking train. I was not expecting something like this in the first issue.",disqus_MNI1UQuqIh,78,1,1,0.15,0.711,0.167,0.0,0.833,0.612
1,Batman-2016/Issue-1,dude i almost cried.,GwenpoolLove,14,0,0,0.0,0.0,0.0,0.536,0.464,-0.32
2,Batman-2016/Issue-1,I was rolling my eyes at that.,Anette_Halbestunde,13,5,0,0.0,0.0,0.0,0.0,1.0,0.0
3,Batman-2016/Issue-1,Me too. It's pretty fucking obvious they would be proud. This question made much more sense in b:tas when he had fear toxin in his system.,disqus_h1pDVQqybe,10,1,0,0.388,0.75,0.194,0.098,0.708,0.477
4,Batman-2016/Issue-1,Holy shit! This was epic. I love the new B :TAS inspired Bat mobile.,aadityaphadnis,24,0,0,0.122,0.564,0.379,0.177,0.444,0.624
5,Batman-2016/Issue-1,they ruined it with putting an ugly ass bat head to the front...,disqus_EWRAq32DqX,3,1,0,-0.7,1.0,0.0,0.497,0.503,-0.872
6,Batman-2016/Issue-1,It's a tribute to an early design during the 40s.,disqus_KDasItQQK9,2,0,0,0.1,0.3,0.0,0.0,1.0,0.0
7,Batman-2016/Issue-1,Oh cute some supers to annoy Batman a bit more,AbsoluteCalfMuscles,12,0,0,0.5,0.75,0.233,0.225,0.543,0.026
8,Batman-2016/Issue-1,The fuck,pinothepirate,16,1,1,-0.4,0.6,0.0,0.778,0.222,-0.542
9,Batman-2016/Issue-1,You like your own comment? ok.,bintangpurwaditya,7,0,0,0.55,0.75,0.54,0.0,0.46,0.572
10,Batman-2016/Issue-1,See Iiked my own commetn too!,disqus_mnwcVX0cGd,4,0,0,0.75,1.0,0.0,0.0,1.0,0.0
11,Batman-2016/Issue-1,My words exactly,karthikkasturi,4,0,0,0.25,0.25,0.0,0.0,1.0,0.0
12,Batman-2016/Issue-1,"I appreciate that they saved my boy but as soon as they said that it was ""Their city"" I was done with them, They can fly away with that bullshit. Batman is gotham and that is his city!",shadyplaydude,10,0,0,1.0,0.9,0.089,0.13,0.781,-0.578
13,Batman-2016/Issue-1,"Because he is Batman , but Gotham girl was hot)))",disqus_RidaD4akBz,0,0,0,0.25,0.85,0.0,0.0,1.0,0.0
14,Batman-2016/Issue-1,"well I hate them already. fuck em up, jokesy",reallyrandomcircle,10,0,0,-0.6,0.75,0.147,0.503,0.35,-0.727
15,Batman-2016/Issue-1,These two just saved Batman's life...........so why do I hate them already?,manga_mango,7,0,0,-0.8,0.9,0.181,0.239,0.581,-0.226
16,Batman-2016/Issue-1,Right!!!!!!!!!!!!!!,yaseen_gani,3,0,0,1.0,0.536,0.0,0.0,1.0,0.0
17,Batman-2016/Issue-1,the way they were talking down to batman,disqus_E7vIOUfiMv,0,0,0,-0.156,0.289,0.0,0.0,1.0,0.0
18,Batman-2016/Issue-1,"It was a good issue but i had to facepalm at the end ""gotham"" ""gotham girl"" bye",disqus_ZAmwCRxDV9,7,0,0,0.7,0.6,0.122,0.0,0.878,0.238
19,Batman-2016/Issue-1,"""Kane"" Plaza? ""Finger"" Tower?Nice touch, DC.",disqus_V0mHwpllJK,5,0,0,0.0,0.0,0.0,0.0,1.0,0.0
20,Batman-2016/Issue-1,"""I am Gotham.  This is Gotham girl""Real Original. Cringe",greenjolt,3,0,0,0.562,1.0,0.223,0.0,0.777,0.318
21,Batman-2016/Issue-1,The reincarnated versions of Nite Owl and Silk Spectre of Watchmen??????,disqus_cOiISYK2u8,3,0,0,0.0,0.0,0.0,0.0,1.0,0.0
22,Batman-2016/Issue-1,Gotham Boy looks like Geo-Force. And with the G on the chest I actually thought it's him. He could have saved the plane too with his anti gravity power.,Anette_Halbestunde,0,0,0,0.0,0.1,0.168,0.073,0.759,0.459
23,Batman-2016/Issue-1,"Batman: ...Wow, those names are original -_- But thanks fo the help.",disqus_1E8dDFMldj,3,0,0,0.287,0.475,0.467,0.0,0.533,0.784
24,Batman-2016/Issue-1,"""This would be a good death""Echoes of Miller's The Dark Knight Returns, I approve!",knight_ldr,3,0,0,0.256,0.5,0.225,0.0,0.775,0.493
25,Batman-2016/Issue-1,A good issue. But the ejected chair has a sustained engine that can be remotely controlled? What?,disqus_hAWPaocMsn,2,0,0,0.3,0.4,0.189,0.0,0.811,0.504
26,Batman-2016/Issue-1,that is why we love him he always has the craziest inventions,disqus_E7vIOUfiMv,0,0,0,0.5,0.6,0.273,0.078,0.649,0.612
27,Batman-2016/Issue-1,Gotham and Gotham Girl... now I've heard everything.,Anette_Halbestunde,2,0,0,0.0,0.0,0.0,0.0,1.0,0.0
28,Batman-2016/Issue-1,"A beautiful number that was told so beautifully. Also, THAT BATMAN TAS BATMOBILE THOUGH",disqus_XRo3NaL4ZB,2,0,0,0.85,1.0,0.499,0.0,0.501,0.873
29,Batman-2016/Issue-1,Disliking this 'emotionally open' Batman.,disqus_gDeiwO8dyA,1,0,0,0.0,0.5,0.0,0.365,0.635,-0.318
30,Batman-2016/Issue-1,what happened to calling Alfred penny-one,ronichiryu,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0
31,Batman-2016/Issue-1,that was some fast and furious shit,axeledongo,1,0,0,0.0,0.7,0.0,0.593,0.407,-0.807
32,Batman-2016/Issue-1,This was surreal but who thought of giving those superheroes the names Gotham and Gotham Girl?,skywalkeir,1,0,0,0.25,1.0,0.171,0.0,0.829,0.477
33,Batman-2016/Issue-1,Wow my jaws dropped. King kills it again ,casper4690,1,0,0,0.1,1.0,0.286,0.263,0.451,0.077
34,Batman-2016/Issue-1,amazing absolutely beautiful what an introduction love it,disqus_E7vIOUfiMv,0,0,0,0.65,0.833,0.709,0.0,0.291,0.922
35,Batman-2016/Issue-1,Why did Batman had to die though? Can't he just get off the plane as it crashes by using his cape as a glider? He does it all the time!Also Gotham and Gotham Girl are cringy names.,hardcoverlover,0,0,0,0.0,0.0,0.0,0.115,0.885,-0.676
36,Batman-2016/Issue-1,"""Yes sir awaiting you stability.... As always"" made me laugh :)",disqus_wS5aTQE2ma,0,0,0,0.4,0.55,0.538,0.0,0.462,0.852
37,Batman-2016/Issue-1,"I hate Batman, but this issue was pretty good. I'll keep reading to see if the rest of the series is any good",cory_cramer,0,0,0,0.212,0.775,0.371,0.073,0.556,0.892
38,Batman-2016/Issue-1,just reread it with The dark knight rises soundtrack on the background. Boy...did I get goosebumps!!!,ratnajeetshyamkunwar,0,0,0,-0.293,0.4,0.0,0.0,1.0,0.0
39,Batman-2016/Issue-1,"ew, gotham girl and... gotham? get the ffffffffcuk outta here!! LMFAO.",disqus_OSQAMuuEff,0,0,0,0.0,0.0,0.325,0.0,0.675,0.702
40,Batman-2016/Issue-1,"i could care less for duke, tbh.",disqus_OSQAMuuEff,0,0,0,-0.167,0.067,0.39,0.0,0.61,0.494
41,Batman-2016/Issue-1,"""Awaiting your stability. As always."" Good thing the costume's fireproof, eh?",disqus_JP9QQDL2ey,0,0,0,0.7,0.6,0.225,0.0,0.775,0.44
42,Batman-2016/Issue-1,"I almost collapsed at the end, that was a close heart attack",bovegrrosenson,0,0,0,0.0,0.0,0.0,0.38,0.62,-0.6
43,Batman-2016/Issue-1,"Oh, so the female one needs to be called Gotham GIRL, cuz you know, we don't want to confuse people. Huh huh, I see how it is.",disqus_LS3j3SG2tm,0,0,0,0.0,0.167,0.062,0.045,0.893,0.114
44,Batman-2016/Issue-1,tom king makes people cry all the time,pendekarsarden,0,0,0,0.0,0.0,0.0,0.307,0.693,-0.477
45,Batman-2016/Issue-1,Gotham and Gotham Girl? I can't wait to be saved by Cleveland and Cleveland Girl. Or New York and New York Girl. Or my favorites San Francisco and San Francisco Girl!,dylanclites,0,0,0,0.153,0.455,0.174,0.0,0.826,0.709
46,Batman-2016/Issue-1,Good start,mangamusicfan,0,0,0,0.7,0.6,0.744,0.0,0.256,0.44
47,Batman-2016/Issue-1,""" Is this a good death? "" That is a reference from Frank millers dark knight right?",tomabz13,0,0,0,0.279,0.512,0.16,0.235,0.606,-0.331
48,Batman-2016/Issue-1,"I'm pretty sure Batman could have made some kind of flying power suit to support it. It's weird to say this but it's true all the same, he was unprepared.",jaygarrwick,0,0,0,0.2,0.761,0.261,0.038,0.701,0.788
