,Webpage,Message,Author,Likes,Dislikes,NumReports
0,The-Walking-Dead/Issue-191,"MOTHERFUCKER! MOTHERFUCKER, YOU FUCKING MOTHERFUCKER!I AM NOT GOING THROUGH THE SHIT OF ENDGAME TO GAME OF THRONES JUST FOR THIS SHIT!SOMEONE FUCKING KILLED THIS PIECE OF SHIT!",spideymaster661,50,0,0
1,The-Walking-Dead/Issue-191,Someone is expressing their inner Negan!(Though I wholeheartedly agree with you),disqus_rZimviu1w5,14,0,0
2,The-Walking-Dead/Issue-191,"Not really, it should be ""motherfucking dick suck cunt fucking fuck fuckity fuck fucker fucking fuck fuckers"" if he is expressing inner Negan",disqus_bkFAX0bKZP,10,0,0
3,The-Walking-Dead/Issue-191,Joker: OHOHOHOHO- YES YOU ARE!!!,passive_aggressive,4,0,0
4,The-Walking-Dead/Issue-191,OH-YOU SONOFABITCH!You are a very bad man....,spideymaster661,0,0,0
5,The-Walking-Dead/Issue-191,UnbelievableUN FUCKIN BELIEVABLEfuck,orochimarujosephjoestarjr,27,0,0
6,The-Walking-Dead/Issue-191,"there has been so much loss in the media latley with mcu and game of thrones (kinda) even the walking dead show, if rick dies here then that is a huge loss for 2019.oh btw was anyone else reading rick's speech with andrew lincoln's rick grimes voice in your head.",thechrisrox1110,26,0,0
7,The-Walking-Dead/Issue-191,nope...that Rick is not this Rick,DarthNandious,10,0,0
8,The-Walking-Dead/Issue-191,didnt say he was but i got used to tv rick so im hearing his voice when reading comic book rick.,thechrisrox1110,0,1,0
9,The-Walking-Dead/Issue-191,Same here. Andy will always be Rick Grimes to me.,ViscuousCroaker,5,0,0
10,The-Walking-Dead/Issue-191,"Yeahh sure that Andy Serkis, which makes the facial motion capture for the comics. yeahhh, how could someone forget about that",denisse_salazar,0,0,0
11,The-Walking-Dead/Issue-191,WE'RE NO LONGER THE WALKING DEAD...............Rick might be though..............,petermilanowhosoever,22,0,0
12,The-Walking-Dead/Issue-191,Maybe that's the case. The writers foreshadowed his death with the speech.,disqus_jemrsV0jYs,0,0,0
13,The-Walking-Dead/Issue-191,"it's going be hard to come back from being shot to the chest with no real medical, but I can't see them killing off Grimes like this in the comic book.",petermilanowhosoever,10,1,0
14,The-Walking-Dead/Issue-191,"Of course, that asshole was going to blow this up.Edit: Did anyone else get a moment, like this-was-the-last-issue-of-this-series vibe from Rick's speech, or was it just me?",disqus_fj3SdaQgu7,20,0,0
15,The-Walking-Dead/Issue-191,Well....I notice a bit.,spideymaster661,5,0,0
16,The-Walking-Dead/Issue-191,SHOT THROUGH THE HEART,mva7,19,0,0
17,The-Walking-Dead/Issue-191,And you're to blame,mental666,10,0,0
