,Webpage,Message,Author,Likes,Dislikes,NumReports,Polarity,Subjectivity,Positive,Negative,Neutral,Compound
0,The-Amazing-Spider-Man-1963/Issue-800,"Althought I'm not a big fan of Dan Slott's writing, I think he did an incredible job here and to be honest, this is the BEST issue of ASM so far and currently one of my favorites. Sadly, Flash did save everyone's lives from RG's infectious symbiote splinters and touch but took heavily damage from RG. He wasn't just Peter's school bully or a #1 fan of Spidey, he's a mighty-damn hero! RIP Flash Thompson, you'll never be forgotten.As for Otto, if he thinks about bringing Superior Spider-Man back, I wonder this leads to Spidergeddon.",architectofcomics,57,0,0,0.255,0.6,0.169,0.128,0.702,0.684
1,The-Amazing-Spider-Man-1963/Issue-800,"This is definitly a good way for Dan Slott to end his entire Spider-Man run. Its was action packed, emotional, fulfilling and definitly developed everyone. Though I must admit, Doc Oct appearing as a good guy all of a sudden after he vowed revenge in Secret Empire is kinda came on a left field, but hey, what ever allows him to reform officially and possibly rekindle his relationship with Marconi, I'm all for. I just hope that the next TASM writer does things a bit differently and hopefully better than the entirty of Dans run since that guy had a tendincy to sway Peter development as a character, meaning that he would constantly allowed Peter to climb up in his life, only to push him back down, then have him climb up, then push him back down again, which was the most infuriating thing about his run as well as the constant tease about the possibility of Peter learning about his worst mistake ever. But again, as a conclusion to his run, Well Playd Dan Slott.",disqus_MB5q8tlvDK,14,0,0,0.013,0.466,0.119,0.098,0.783,0.054
2,The-Amazing-Spider-Man-1963/Issue-800,"Ock loves May and he, like Doom, knows when to put the ego aside.",comicustoms,8,0,0,0.0,0.0,0.312,0.136,0.553,0.542
3,The-Amazing-Spider-Man-1963/Issue-800,"Slott had his ups and downs...But this, just like of most of his superior run was just amazing!!!",william_luiz,7,0,0,0.733,0.767,0.422,0.0,0.578,0.899
4,The-Amazing-Spider-Man-1963/Issue-800,"superior spider man is a necessary story line, but it came out in the wrong time; during Parker's big moment. but in truth, now it will be perfect to move on though. although, i hoped that Osborn would die the same way as Gwen and it will be permanent for good this time though.",praveenloganathan,1,0,0,0.271,0.661,0.243,0.132,0.625,0.791
5,The-Amazing-Spider-Man-1963/Issue-800,May: NORMIE OSBORN!! I BAKED COOKIES FOR YOU!Normie: YOU PUT RAISIN IN THEM! YOU DESERVE TO DIE!,lexoratiani,19,0,0,0.0,0.0,0.0,0.279,0.721,-0.778
6,The-Amazing-Spider-Man-1963/Issue-800,Agreed.,disqus_oHXVimEkOL,2,0,0,0.0,0.0,1.0,0.0,0.0,0.273
7,The-Amazing-Spider-Man-1963/Issue-800,"I make oatmeal raisin cookies quite often, ya lil jerk lmao! Bad kid! lol",comicustoms,1,0,0,0.225,0.789,0.328,0.266,0.406,0.337
8,The-Amazing-Spider-Man-1963/Issue-800,"Please we need to come back where one more day stand. They tease us many times, but still nothing. Come one i want to see mephisto coming back to trouble spiderman about the deal.",teclis452teclis452,16,0,0,0.16,0.24,0.044,0.176,0.78,-0.597
9,The-Amazing-Spider-Man-1963/Issue-800,same here,tevyasmolka,7,0,0,0.0,0.125,0.0,0.0,1.0,0.0
10,The-Amazing-Spider-Man-1963/Issue-800,me i really prefer peter as he is now!,mollydjelle,2,0,0,0.25,0.2,0.0,0.0,1.0,0.0
11,The-Amazing-Spider-Man-1963/Issue-800,"I noticed those references too! And with MJ back and stuff, It's very plausible they're setting up for One More Day to finally be scrapped! Here's hoping.",hayden_stephens,2,0,0,0.287,0.537,0.119,0.0,0.881,0.524
12,The-Amazing-Spider-Man-1963/Issue-800,Such a great read! I really enjoyed it and I can't wait to see the SUPERIOR Spider-man again!,beterbarker,14,0,0,0.594,0.713,0.51,0.0,0.49,0.926
13,The-Amazing-Spider-Man-1963/Issue-800,I'm kinda of piss off they dind't use the occasion to cancel OMD.Especailly whith all the int we get since a year.,monsieursafior,12,0,0,0.0,0.0,0.0,0.189,0.811,-0.53
14,The-Amazing-Spider-Man-1963/Issue-800,"If they ever undo One More Day you an bet your ass they will make it a crossover event with Renew Your Vows, Spider-Man/Deadpool (they were the only ones so far to make references to it), Spectacular and Amazing and Doctor Strange or Ghost Rider (after Damnation, Mephisto was left as a tourist trap in Las Vegas and Johnny Blaze became ruler of Hell) to make even haters buy all of it",iannavah,7,0,0,0.25,0.636,0.046,0.2,0.754,-0.898
15,The-Amazing-Spider-Man-1963/Issue-800,i would pay so much money for that crossover,tevyasmolka,2,0,0,0.2,0.2,0.0,0.167,0.833,-0.103
16,The-Amazing-Spider-Man-1963/Issue-800,omg let it go already,disqus_2V26Qycwzx,3,1,0,0.0,0.0,0.0,0.0,1.0,0.0
17,The-Amazing-Spider-Man-1963/Issue-800,Sorry to have a soul and caring for something.,monsieursafior,3,0,0,-0.5,1.0,0.305,0.124,0.571,0.44
18,The-Amazing-Spider-Man-1963/Issue-800,"Dis was epic. May should have died tho. Slott did great here, unlike Bendis on IM 600.BTW is that Otto at the end, anyone can point me to the issues where he was de-aged?",disqus_qlYVaWwIcm,10,0,0,0.45,0.575,0.103,0.091,0.806,0.128
19,The-Amazing-Spider-Man-1963/Issue-800,That is Otto in the clone body that was originally planned for Ben Reilly during the Clone Conspiracy arc. Clone body without the defects that the Jackal had to deal with during his time cloning Parker.,zaitung,6,0,0,0.375,0.75,0.057,0.086,0.857,-0.283
20,The-Amazing-Spider-Man-1963/Issue-800,can u point me to a specific issue plz?,disqus_qlYVaWwIcm,1,0,0,0.0,0.125,0.178,0.0,0.822,0.077
21,The-Amazing-Spider-Man-1963/Issue-800,"Otto modified a cloned body of Peter with his own DNA , so we have a more powerful version of Otto.",lucasnbregamaia,0,0,0,0.467,0.833,0.154,0.0,0.846,0.475
22,The-Amazing-Spider-Man-1963/Issue-800,Otto saving aunt May was the most WOW and EPIC moment!,disqus_xegbnymc8c,9,0,0,0.242,0.633,0.339,0.0,0.661,0.728
23,The-Amazing-Spider-Man-1963/Issue-800,I was amazed that he appeared in first place.,iannavah,3,0,0,0.25,0.333,0.314,0.0,0.686,0.494
24,The-Amazing-Spider-Man-1963/Issue-800,Slott loves Ock ofcourse he'd add him somehow,ghcgchcgh,3,0,0,0.0,0.0,0.346,0.0,0.654,0.572
25,The-Amazing-Spider-Man-1963/Issue-800,This is probably one of the best Spidey stories Slott has written. Also Flash's funeral was a real tear-jerker.,Superboy8338,9,0,0,0.6,0.3,0.185,0.11,0.705,0.402
26,The-Amazing-Spider-Man-1963/Issue-800,I know right!,FantasyConnect,2,0,0,0.357,0.536,0.0,0.0,1.0,0.0
27,The-Amazing-Spider-Man-1963/Issue-800,I didn't cry but i surely enjoyed the story. Slott trully knew how to deliver a big finale (plus an epilogue coming next),iannavah,1,0,0,0.167,0.267,0.236,0.118,0.646,0.48
28,The-Amazing-Spider-Man-1963/Issue-800,"I cried a little because as I was reading Peter gave a very meta speech about how Flash started out as his bully, then became a hero, friend, and one of Spidey's biggest fans to being someone Spidey himself looked up to as a hero. All of Spider-man's writers over the years gave Flash a fifty-year character arc that just came full circle in this issue. Even though I'm more of a DC fan, this is one of the reasons why I love Marvel.",Superboy8338,3,0,0,0.273,0.49,0.215,0.063,0.722,0.934
29,The-Amazing-Spider-Man-1963/Issue-800,Good to know Dan Slott went out with a high note Unlike Bendis screw his spend off,disqus_mjY7q68Jvm,8,0,0,0.43,0.57,0.158,0.077,0.765,0.361
30,The-Amazing-Spider-Man-1963/Issue-800,"Bendis was like ""i have all this ideas just give me time"", they gave him time, but he kept procrastinanting and when he realized he had so few issues left and was leaing MARVEL, he was ""son of a gun i have to fit all of this somehow""",iannavah,1,0,0,0.067,0.167,0.178,0.056,0.765,0.772
31,The-Amazing-Spider-Man-1963/Issue-800,"I was disappointed in all of Bendis's last issues. Especially Iron Man, which felt like ""everyone is pissed I killed Rhodey so here have him back I'm outta here anyway""",nineteen_84,0,0,0,-0.19,0.363,0.065,0.308,0.627,-0.883
32,The-Amazing-Spider-Man-1963/Issue-800,"Boy oh boy...I read this with Spider-man(2002) soundtrack...So, so cool.",robertonavarretetapia,6,0,0,0.35,0.65,0.249,0.0,0.751,0.457
33,The-Amazing-Spider-Man-1963/Issue-800,I was alternating between Spectacular Spider-Man Theme Song in the first half and in the second half use the main them of Spider-Man (2002),iannavah,2,0,0,0.114,0.317,0.0,0.0,1.0,0.0
34,The-Amazing-Spider-Man-1963/Issue-800,"Lol SAME!  Danny Elfman theme for the body of the comic, then the orchestral version of the 60's theme they used in Homecoming for the ending.",disqus_8xTE5c9EfG,1,0,0,0.35,0.442,0.11,0.0,0.89,0.475
35,The-Amazing-Spider-Man-1963/Issue-800,"Great GREAT read. I didn't expect it to be a huge 4 part series packed into one comic, so that was a great surprise. So now we have a possible reincarnation of Carnage through Normie and another go around with the all-new Doc Oc. Looking forward to Slott's last writing adventure.",greg_brosh,5,0,0,0.436,0.674,0.333,0.0,0.667,0.964
