,Webpage,Message,Author,Likes,Dislikes,NumReports
0,Exit-Stage-Left-The-Snagglepuss-Chronicles/Issue-6,Bitter sweet but still a very good ending and comic in general.,dimitrisom,8,0,0
1,Exit-Stage-Left-The-Snagglepuss-Chronicles/Issue-6,A great story for a great character.Thanks,Anubis_Necromancer,4,0,0
2,Exit-Stage-Left-The-Snagglepuss-Chronicles/Issue-6,what a story. really enjoyed this comic,capsloth,4,0,0
3,Exit-Stage-Left-The-Snagglepuss-Chronicles/Issue-6,This was a fantastic story. I'm sorry to see it end so soon.I'm definitely going to miss Sasquatch Detective.,disqus_v3Bc7HJvmQ,3,0,0
4,Exit-Stage-Left-The-Snagglepuss-Chronicles/Issue-6,"Damn, that was one hell of a comic!!!",disqus_xBplXWvsuw,2,0,0
5,Exit-Stage-Left-The-Snagglepuss-Chronicles/Issue-5,Holy shit dude...Huck is dead and S.P is avenging the hell out of him!This is an amazing chapter!,hassansalehboxwalla,7,0,0
6,Exit-Stage-Left-The-Snagglepuss-Chronicles/Issue-5,"Damn, this was awesome!",johnnycharneca,1,0,0
7,Exit-Stage-Left-The-Snagglepuss-Chronicles/Issue-4,"aaah the classic ""values"" person being actually completely corrupt and being an hypocrite of his/her own problem. All to demonize anyone but himself.",disqus_xBplXWvsuw,1,0,0
8,Exit-Stage-Left-The-Snagglepuss-Chronicles/Issue-4,"Is that the same woman that snagglepuss left or that someone else?I feel bad for her, all she ever wanted was to be loved",FuckWarframe,0,0,0
9,Exit-Stage-Left-The-Snagglepuss-Chronicles/Issue-4,There once was a lady named GloriaWho got humped by Sir Geoffrey DuMaurierThen six other menThen Sir Geoffrey againThen the band at the Waldorf-Astoria,elias_algorithm,0,0,0
10,Exit-Stage-Left-The-Snagglepuss-Chronicles/Issue-4,"Ho do they even have sex, when the animal-people walk around pantless and obviously have no genitals?",commanderbbshockwave,0,0,0
11,Exit-Stage-Left-The-Snagglepuss-Chronicles/Issue-3,"Wow. This comic series continues to surprise me. It's a pleasure, even.",jelyde1,2,0,0
12,Exit-Stage-Left-The-Snagglepuss-Chronicles/Issue-3,This comic is insanely deep!,disqus_xBplXWvsuw,0,0,0
13,Exit-Stage-Left-The-Snagglepuss-Chronicles/Issue-2,"This feels like a toonified version of Trumbo.Gods, I cant believe clowns like that person of the ""committee"" was allowed to gain power in such a way.",disqus_xBplXWvsuw,2,0,0
14,Exit-Stage-Left-The-Snagglepuss-Chronicles/Issue-2,I just realized GG Allen looks like Ayn Rand,agostocarmes,1,0,0
15,Exit-Stage-Left-The-Snagglepuss-Chronicles/Issue-2,I'll admit.... Not only do I like the backup strip. I kinda think Tonya is cute. :),johnpaulguerra,1,0,0
16,Exit-Stage-Left-The-Snagglepuss-Chronicles/Issue-1,This is a very weird spinoff of Bojack.,rainspectre,8,0,0
17,Exit-Stage-Left-The-Snagglepuss-Chronicles/Issue-1,You Can Say That Again.,schweenieboy,1,0,0
18,Exit-Stage-Left-The-Snagglepuss-Chronicles/Issue-1,"Have to say, I'm impressed with how many wins the Hanna Barbara Beyond line has produced. While Scooby Doo Apocalypse honestly misses what makes Scooby Door good and Wacky Racers Wasteland is...what the hell, the other works have been consistently powerful and insightful.",rainspectre,9,1,0
