,Webpage,Message,Author,Likes,Dislikes,NumReports
0,The-Wild-Storm/Issue-1,"Page 8 - ""There is a alley down here where a guy turned into a bat in 1939.""Was this a Batman reference? He was created in 1939 and he first lived in New York.OMG!!! I waited for this for so long!",disqus_2fhnwYPTBq,19,0,0
1,The-Wild-Storm/Issue-1,"Interesting facts:Jackie King has a cat named Streaky.Supergirl has a cat named Streaky.Therefore Jackie King is Supergirl ?(OK, probably not.)",jeremycraigweston,0,0,0
2,The-Wild-Storm/Issue-1,"Well, I'll be....",spideymaster661,0,0,0
3,The-Wild-Storm/Issue-1,"Sooo.Lucy Blaze is an operative of IO code named Zealot that hunts down people who mess with what they shouldn't.The Marlowe guy is not baseline human, possibly alien.The Spica woman does the right thing with something she developed that her superiors ignored until now and is about to get in a lot of hurt for it.The Adrianna woman with white eyes is possibly mostly alive.Michael Cray is a killer with abilities he does not tell about to his superiors.Miles Craven is a head of an organisation called International Operations and fancies himself someone that runs the world. Also he does not listen to his own researchers.Bunch of other people show up.As far as setting up characters this is a decent issue. I have never followed Wildstorm before but I am intrigued.",matejsojka,7,0,0
4,The-Wild-Storm/Issue-1,"Spica is The Engineer, originally part of The Authority. Zealot is from Wild.C.A.T.S.",MotherOfCreation,3,0,0
5,The-Wild-Storm/Issue-1,"The original Marlowe was an alien who fought against others called Daemonites or something and formed Zealot's team, right?",kidakor,0,0,0
6,The-Wild-Storm/Issue-1,And marlowe was basically puck from alpha flightbut as an alien,DRAGONQUARTER,0,0,0
7,The-Wild-Storm/Issue-1,"Been waiting for this one! Highly recommend The Authority as well, Ellis's run only tho.",disqus_IXFawpGLcU,4,0,0
8,The-Wild-Storm/Issue-1,"you crazy? There's a ton of The Authority and while some of it isn't as good as the rest, on the whole it's my second favorite comic series period. Don't limit yourself there, man",samuelquinnmorris,2,0,0
9,The-Wild-Storm/Issue-1,Is it just me or is everything happening on the same fucking street?,disqus_h1pDVQqybe,3,0,0
10,The-Wild-Storm/Issue-1,I don't know anything about Wildstorm but II want to see how this story goes out.,ericazul,4,1,0
11,The-Wild-Storm/Issue-1,"Wow, the main character's a jerk",disqus_kYpjh28Xdy,1,0,0
12,The-Wild-Storm/Issue-1,"Nice Engineer transformation..too bad they had to redesign her look, though. Typical PC stuff: she used to look way hotter, still looked great in 2011's Vol 3. Now, every female hero has to look ""tortured"" (see She-Hulk) instead of beautiful. Oh well.",vadimfv,1,0,0
13,The-Wild-Storm/Issue-1,"I wouldn't call the engineer ""hot""(thatd be like calling edi from mass effect hot) but yeah she was basically nude",DRAGONQUARTER,0,0,0
14,The-Wild-Storm/Issue-1,i think i should know something before reading this but don't know what,kareematta,1,0,0
15,The-Wild-Storm/Issue-1,"Just read Ellis's original wildstorm run and be aware that the Justice League International crashed and burned in the current timeline, (not sure if sabotaged) so Stormwatch has a shot at being Rebirth's U.N. Metahuman response team. (and if DC set that up intentionally ten years ago they're golden)",disqus_1iVHQvnkHO,1,0,0
16,The-Wild-Storm/Issue-1,original wildstorm run?,DRAGONQUARTER,1,0,0
17,The-Wild-Storm/Issue-1,Meh.,kacperprzysiny,1,1,0
18,The-Wild-Storm/Issue-1,now thats what im talking about,DRAGONQUARTER,0,0,0
19,The-Wild-Storm/Issue-1,so basically Michael is touma from index?,SAGAFRONTIER2,0,0,0
20,The-Wild-Storm/Issue-1,the batman reference... &lt;3. oh mah gawd. that was clever.,disqus_OSQAMuuEff,0,0,0
21,The-Wild-Storm/Issue-1,electrogravitic? xenobiological?,DRAGONQUARTER,0,0,0
22,The-Wild-Storm/Issue-1,normal gay couple touching fingers across a tablejust a little corny,DRAGONQUARTER,0,0,0
23,The-Wild-Storm/Issue-1,ellis writing zealot just gets me elijah snow vibesdont like those lips tho,DRAGONQUARTER,0,0,0
24,The-Wild-Storm/Issue-1,The blood on Zealot's face on page 5 is an homage to Zealot from the original Wildstorm universe,Mannyv280,0,0,0
25,The-Wild-Storm/Issue-1,Looks neat,reallyrandomcircle,0,0,0
26,The-Wild-Storm/Issue-1,"Decent first issue. I may have hyped this up too much in my mind beforehand. I'm not disappointed, but I'm not wowed either.",nerdssuckweeners,0,0,0
27,The-Wild-Storm/Issue-1,"I'm not really known much about Ellis work, but this one is quiet intrigued...",spideymaster661,0,0,0
28,The-Wild-Storm/Issue-1,quite intriguing?,DRAGONQUARTER,0,0,0
29,The-Wild-Storm/Issue-1,"Yeah, sorry... wrong word. Do you want me to edit it?",spideymaster661,0,0,0
30,The-Wild-Storm/Issue-1,I've missed Wildstorm. A lot.,danielnailed,0,0,0
31,The-Wild-Storm/Issue-1,I havent,DRAGONQUARTER,0,0,0
32,The-Wild-Storm/Issue-1,As someone who's never been into this universe called WildStorm the idea of a streamlined fresh start reboot is quite appealing. Time to get into this entire universe of comics.,dx323,0,0,0
33,The-Wild-Storm/Issue-1,"If this new Wildstorm is even half as good as Ellis' runs of Stormwatch and The Authority, you can count me in.",kidakor,0,0,0
34,The-Wild-Storm/Issue-1,Did you saw the Daily Planet broadcast in pg. 19?? what's up with that??,disqus_rtgXlikKh3,0,0,0
35,The-Wild-Storm/Issue-1,"new interpretation of the wildstorm universe and comics. this is a parallel universe separate from the main DC continuity. batman does not exist here, superman doesn't, either. these people exist in their own timeline, away from the other superhero lore.the batman reference is like an homage. it doesn't mean much, just to remind you that this is a DC comics property and to tell you straight up that this is a parallel universe.have you guys seen the movie watchmen, the one by zack snyder? in the beginning, there's a huge ass reference to batman, with the couple getting shot in an alleyway, and some obscured vintage batman posters in the background. it's like that, nothing deep.i love it when comic books do that.""hey, remember that storybook mom and dad used to read to us when we were younger? the one about the superhero, the one with an S on his chest. he was invincible and stuff, i wanna be like him! fight crime and fly all over the city!""""dream on, jimmy. that's fiction, it could never happen. besides, wasn't he an alien? we're not aliens!""like that.",disqus_OSQAMuuEff,0,0,0
36,The-Wild-Storm/Issue-1,another earth,DRAGONQUARTER,0,0,0
37,The-Wild-Storm/Issue-1,so i am confused is this series the wildstorm universe or not because i barley read wildstorm to tell you the truth ,tevyasmolka,0,0,0
38,The-Wild-Storm/Issue-1,"This is the wildstorm universe being rebooted from scratch, a la post-flashpoint, new 52 DC universe...",disqus_rtgXlikKh3,2,0,0
39,The-Wild-Storm/Issue-1,"Well, yes and no on the reboot thing since at the same time the old Wildstorm was restored after the whole Convergence thing, this is a new interpretation of that timeline now",disqus_ugw0Gj2LxQ,2,0,0
40,The-Wild-Storm/Issue-1,It's lit. Can't wait to see where this goes!,timioke,0,0,0
41,The-Wild-Storm/Issue-1,Where do I start wildstorm?,disqus_PRE0qKuc7z,0,0,0
42,The-Wild-Storm/Issue-1,"here. it's a revival, all-new wildstorm",disqus_fAIjBITOWp,1,0,0
43,The-Wild-Storm/Issue-1,authority,DRAGONQUARTER,0,0,0
44,The-Wild-Storm/Issue-1,"Lol I though they would continue from where it stopped, the World's End arc, I want the good old wildstorm universe not a fucking reboot.",disqus_D91Z6Gp00T,0,1,0
45,The-Wild-Storm/Issue-1,It's still possible.  Ellis has used a bait-and-switch on quite a few occasions.,disqus_1iVHQvnkHO,1,0,0
46,The-Wild-Storm/Issue-1,"Apart from Crecy, which wasn't really my thing; I've never regretted it.",jeremycraigweston,1,0,0
47,The-Wild-Storm/Issue-1,they gotta get the new readers,DRAGONQUARTER,0,0,0
48,The-Wild-Storm/Issue-2,It's incredible how gripping this story is and we're just two issues in! Very glad DC have rebooted wildstorm for those of us who'd never read their titles!,timioke,11,0,0
49,The-Wild-Storm/Issue-2,"Seriously, you would like the old stuff, this is the feel of it. Ed Brubake and Warren Ellis wrote some awesome wildstorm universe stuff. Alan Moore wrote some pretty good stuff there as well. Try out the authority or Planetary. If you really like those try stormwatch (ONLY the ellis issues, the others are hot garbage).",Irobotwillneverdie,3,0,0
50,The-Wild-Storm/Issue-2,ed brubaker wrote some issues of authority though. are those hot garbage?,LEGENDOFLEGAIA,1,0,0
